division,clase,archivo,ruta,R_media,R_std,R_mediana,G_media,G_std,G_mediana,B_media,B_std,B_mediana,H_media,H_std,H_mediana,S_media,S_std,S_mediana,V_media,V_std,V_mediana,L_media,L_std,L_mediana,A_media,A_std,A_mediana,LAB_B_media,LAB_B_std,LAB_B_mediana,hist_h_00,hist_h_01,hist_h_02,hist_h_03,hist_h_04,hist_h_05,hist_h_06,hist_h_07,hist_h_08,hist_h_09,hist_h_10,hist_h_11,hist_h_12,hist_h_13,hist_h_14,hist_h_15,hist_h_16,hist_h_17,hist_s_00,hist_s_01,hist_s_02,hist_s_03,hist_s_04,hist_s_05,hist_s_06,hist_s_07,hist_s_08,hist_s_09,hist_s_10,hist_s_11,hist_s_12,hist_s_13,hist_s_14,hist_s_15,hist_v_00,hist_v_01,hist_v_02,hist_v_03,hist_v_04,hist_v_05,hist_v_06,hist_v_07,hist_v_08,hist_v_09,hist_v_10,hist_v_11,hist_v_12,hist_v_13,hist_v_14,hist_v_15,lbp_00,lbp_01,lbp_02,lbp_03,lbp_04,lbp_05,lbp_06,lbp_07,lbp_08,lbp_09,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17,glcm_contraste,glcm_disimilitud,glcm_homogeneidad,glcm_energia,glcm_correlacion,glcm_ASM,proporcion_oscura,proporcion_amarilla,proporcion_verde,proporcion_marron,proporcion_baja_saturacion,area_relativa_fruto
Train,Blackspot,Blackspot_0003202d.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_0003202d.png,124.29485325433264,36.62353366624478,125.0,92.63546887943501,28.740257579853647,93.0,23.345473606372472,25.018748538019494,14.0,20.579442970201573,2.545881892480423,21.0,207.07862628645242,44.80828554632061,225.0,124.29614497189579,36.625804935045245,125.0,105.173962998844,31.13439079926779,107.0,134.35690717886075,4.979709875240846,134.0,168.60914311388174,12.755745025506176,171.0,0.000255067425314337,0.33389025926589966,0.6637228727340698,0.001963317161425948,0.0001567845611134544,0.0,2.340068022022024e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.360272088088095e-06,0.0,0.0034913814160972834,0.004450809210538864,0.004612274002283812,0.006107577588409185,0.00921986810863018,0.014040408656001091,0.019003693014383316,0.022415511310100555,0.02541547827422619,0.028668174520134926,0.03139669448137283,0.039909861981868744,0.06582143157720566,0.18428504467010498,0.46511662006378174,0.0760451927781105,7.020204066066071e-06,0.0006856399122625589,0.0034398999996483326,0.03270479291677475,0.081584133207798,0.1484047770500183,0.11416489630937576,0.14057490229606628,0.1471598595380783,0.13068577647209167,0.1440545916557312,0.039647772908210754,0.006973402574658394,0.0030303881503641605,0.002436010865494609,0.004446129314601421,0.052457306534051895,0.03052384778857231,0.029342113062739372,0.03167515993118286,0.029077686369419098,0.03561115637421608,0.040148548781871796,0.05086839944124222,0.05503606051206589,0.0526445098221302,0.04382947459816933,0.040141526609659195,0.03480617329478264,0.038344353437423706,0.03826245293021202,0.0315604992210865,0.07752645760774612,0.2881442904472351,0.5121396328327135,0.30945298443486313,0.8635579021318494,0.38591850189209653,0.8926279359231389,0.14902841856701832,0.1184214836967459,0.7871637907230342,0.0,0.18259316980937806,0.011644178612714058,0.6778451738162161
Train,Blackspot,Blackspot_00585398.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_00585398.png,138.10104022994048,31.230855269022122,141.0,92.6467245054447,26.403111822156237,94.0,24.171922472246067,26.446419869617657,14.0,17.750506370624716,2.618477147638601,18.0,209.50655629394575,45.637285579042626,229.0,138.10390725219187,31.235887907387877,141.0,109.75988628362542,27.53660415378094,112.0,141.02921999633483,4.315316109481603,142.0,170.40351710568197,12.554340303062482,175.0,0.0009452251833863556,0.836967945098877,0.15904377400875092,0.0020375389140099287,0.0005039593088440597,0.00032070139423012733,2.89354647975415e-05,5.0637063395697623e-05,0.0,2.4112887331284583e-06,0.0,0.0,4.8225774662569165e-06,0.0,0.0,2.89354647975415e-05,6.510479579446837e-05,0.0,0.0056448266841471195,0.003440908854827285,0.0039231665432453156,0.0059775845147669315,0.008507026359438896,0.011574185453355312,0.016363004222512245,0.02280355803668499,0.02575015276670456,0.03227027505636215,0.03632606565952301,0.04070737585425377,0.051671504974365234,0.12461298704147339,0.470760703086853,0.13966666162014008,0.0,0.00012297571811359376,0.0016951359575614333,0.012285515666007996,0.03605358675122261,0.048283644020557404,0.08064072579145432,0.14595530927181244,0.21423818171024323,0.23396974802017212,0.14776858687400818,0.0489877425134182,0.014002352952957153,0.006524947006255388,0.004294505342841148,0.005177036859095097,0.05952989682555199,0.03625372424721718,0.03161199390888214,0.02890894003212452,0.026150425896048546,0.029764948412775993,0.03335053473711014,0.04064468294382095,0.045804839581251144,0.04386616498231888,0.03777042776346207,0.03531573340296745,0.03286827728152275,0.036969877779483795,0.03951137512922287,0.03608252480626106,0.08057080209255219,0.3250248432159424,0.3861449956127839,0.26467397247480506,0.8791209512325615,0.48216927771999274,0.8962694232193781,0.23256869390454984,0.05015721602253108,0.5949444921343763,0.0,0.6280948890324946,0.012220411076495722,0.6528811776911221
Train,Blackspot,Blackspot_00964e23.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_00964e23.png,151.6996698561379,33.90073368972,155.0,95.044202328282,25.643868735713944,96.0,27.836965075769935,25.37602980184529,19.0,16.131318560035318,2.5484840860437235,16.0,207.13960814610786,41.96446484277605,224.0,151.70063917387256,33.90200725939571,155.0,115.9365360806933,27.33500725726324,118.0,145.8981760511339,5.547580138790459,148.0,172.0855590851944,12.231873893008995,176.0,0.0009741163230501115,0.9949326515197754,0.002699214033782482,0.0008757449686527252,8.397554483963177e-05,8.397554483963177e-05,5.03853261761833e-05,4.7986028221203014e-05,0.0,1.1996507055300754e-05,2.1593712517642416e-05,4.558672662824392e-05,6.718043732689694e-05,0.0,0.0,2.3993014110601507e-05,8.157624688465148e-05,0.0,0.004246763419359922,0.002372909104451537,0.003193469950929284,0.0055087958462536335,0.0089230015873909,0.012150062248110771,0.015492288395762444,0.019719857722520828,0.02365231327712536,0.02852049469947815,0.03396211192011833,0.04293309897184372,0.07279720157384872,0.2185499519109726,0.4653588831424713,0.04261878877878189,0.0,0.0001487566769355908,0.0002975133538711816,0.003522174432873726,0.021255411207675934,0.044672589749097824,0.061501290649175644,0.09009616076946259,0.1512567549943924,0.1773899495601654,0.20299048721790314,0.16371393203735352,0.05321410298347473,0.013373705558478832,0.007317868992686272,0.009249306283891201,0.06784024834632874,0.04686315357685089,0.030795032158493996,0.0225510336458683,0.02079954370856285,0.02435050904750824,0.026042016223073006,0.028892386704683304,0.031118938699364662,0.02790147438645363,0.02341238223016262,0.02135618031024933,0.021922416985034943,0.026353925466537476,0.03701882064342499,0.04857145622372627,0.08728418499231339,0.40692630410194397,0.37658164467184596,0.262405981951721,0.8795657079412701,0.4421574441897294,0.900416631536008,0.19557861581150016,0.025223854813478316,0.15044339088457442,0.0,0.7914647254719426,0.009110147125157154,0.6561430962092791
Train,Blackspot,Blackspot_00e21a1c.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_00e21a1c.png,137.16069954348495,33.848363058453764,142.0,95.71226833981142,27.690541601676603,99.0,25.17317672888897,26.077106745422103,17.0,18.614804832008712,1.569153809442389,19.0,208.32747926047242,43.136673825462545,225.0,137.16106546952327,33.84897040696661,142.0,111.34413112647208,29.66345778654088,116.0,138.77845855887617,3.4762357001633326,139.0,170.64193690899597,12.522455094364211,174.0,6.247517740121111e-05,0.733619213104248,0.26571139693260193,0.0005310390261001885,7.586271385662258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053639402613043785,0.004183605778962374,0.003186234040185809,0.004094355273991823,0.006539812311530113,0.009777365252375603,0.0140122901648283,0.019262436777353287,0.026739375665783882,0.03070654906332493,0.03923441097140312,0.053967397660017014,0.0759519636631012,0.18762411177158356,0.3928639888763428,0.12649215757846832,0.0,4.462512606551172e-06,0.0073943836614489555,0.029856441542506218,0.036101728677749634,0.054672472178936005,0.07594527304172516,0.11430948972702026,0.1963929533958435,0.22945794463157654,0.1764388233423233,0.057113468647003174,0.010192379355430603,0.004395574796944857,0.0030724399257451296,0.004652169533073902,0.021473610773682594,0.01490702386945486,0.018311921507120132,0.02451927587389946,0.022544613108038902,0.03585851937532425,0.05046878755092621,0.08823726326227188,0.09969476610422134,0.1067076027393341,0.07686454802751541,0.07148721814155579,0.042376019060611725,0.040044356137514114,0.030963143333792686,0.01822713389992714,0.07738219946622849,0.1599319875240326,0.39341967442615455,0.2514465292447453,0.8873397059638833,0.4316635750576958,0.9150297736083438,0.18642893178804032,0.07335701440052836,0.7670746890744302,0.0,0.43668363908982594,0.012109028109367261,0.700278125
Train,Blackspot,Blackspot_011acd0a.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_011acd0a.png,124.75578423236514,25.420608224430364,128.0,93.29337522228809,23.521624420714293,95.0,23.36597984588026,26.586264299195392,14.0,20.522427978660343,2.449696570373456,21.0,207.42267219917014,46.46583727269013,226.0,124.75760758743331,25.425894015032725,128.0,106.12538233550681,24.088697577803963,108.0,134.31758861885004,4.411909900358409,134.0,168.85591701244815,11.216006378080246,173.0,0.0004931831499561667,0.31818848848342896,0.6788998246192932,0.002129223430529237,0.0002845287381205708,0.0,2.3710729237791384e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3710729237791384e-06,0.0,0.004943687003105879,0.0038245406467467546,0.0045002964325249195,0.0062975697219371796,0.010013041086494923,0.017766449600458145,0.020320095121860504,0.022264374420046806,0.02544635534286499,0.028836987912654877,0.027743924409151077,0.03378304839134216,0.0615672804415226,0.17070065438747406,0.456834614276886,0.10515708476305008,1.1855364391522016e-05,0.001216360367834568,0.0035589805338531733,0.015068168751895428,0.03817427530884743,0.056927088648080826,0.13569650053977966,0.24327918887138367,0.31614938378334045,0.15125548839569092,0.02432720735669136,0.00445050373673439,0.004282157868146896,0.0017427385319024324,0.0012708951253443956,0.002589211566373706,0.05688678100705147,0.0398387685418129,0.029443982988595963,0.02601541206240654,0.02332424372434616,0.027445169165730476,0.03140249103307724,0.03818138688802719,0.04269590973854065,0.03996680676937103,0.03336811065673828,0.03098755143582821,0.027921754866838455,0.031777117401361465,0.03728275001049042,0.04037700220942497,0.08164077997207642,0.36144399642944336,0.4977048195508847,0.2969876342313451,0.869030044105255,0.4874229495134451,0.8294633685906516,0.2377002978553967,0.05802963841138115,0.8408251333728513,0.0,0.19748429164196799,0.012324836988737403,0.658984375
Train,Blackspot,Blackspot_0175ad23.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_0175ad23.png,124.62947685613841,29.838066401958972,123.0,87.17692016575704,24.1499774758976,87.0,22.403355604058714,24.124253053544642,14.0,18.896889794422243,1.9658823668130443,19.0,208.50061766155002,44.5253843404598,227.0,124.6298886305051,29.838817556964194,123.0,101.71536870467209,25.803572440798575,102.0,137.74650408323077,4.4375704253866886,138.0,167.78150014400202,11.38804892285992,171.0,0.0004927011323161423,0.6638897657394409,0.3345107436180115,0.0009973032865673304,8.092675125226378e-05,0.0,2.8562384613906033e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002987149404361844,0.0031609036959707737,0.0033156166318804026,0.005091244820505381,0.008968588896095753,0.014850059524178505,0.020650602877140045,0.022828485816717148,0.025629978626966476,0.028324363753199577,0.03338704630732536,0.04471203312277794,0.06995166093111038,0.14690110087394714,0.4408770501613617,0.12836411595344543,0.0,0.00018327528960071504,0.0028586185071617365,0.02498018555343151,0.03764522075653076,0.06340373307466507,0.20407822728157043,0.22103238105773926,0.17686304450035095,0.17496363818645477,0.06508652865886688,0.011577285826206207,0.006050465162843466,0.0037821356672793627,0.0033679811749607325,0.004127264488488436,0.028798023238778114,0.01666853204369545,0.021705031394958496,0.0301190335303545,0.029178855940699577,0.04076804220676422,0.051267098635435104,0.07971285283565521,0.08925507217645645,0.09160670638084412,0.07218904793262482,0.06775473803281784,0.045230913907289505,0.04185817390680313,0.031632840633392334,0.018660757690668106,0.06880678236484528,0.1747875064611435,0.4144227632763302,0.25377069584744344,0.8873873537860602,0.49919196297530677,0.8746594732504702,0.24929116354072636,0.06566730059290748,0.8115953757500601,0.0,0.356222910364099,0.008706766666746007,0.6564578125
Train,Blackspot,Blackspot_02007eca.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_02007eca.png,137.78353960169886,27.9103667801861,140.0,106.74878418699113,26.91482318699901,109.0,29.86527251701355,27.922482559827763,18.0,21.133892141788728,2.575267419498722,21.0,199.69559122578488,47.21596453421851,220.0,137.78438277422032,27.911632511765458,140.0,119.42458043683123,26.757649424178954,123.0,132.98997590562732,4.661743685556969,133.0,171.58627377785666,12.042444016223143,175.0,6.0040147218387574e-05,0.25314754247665405,0.7455419898033142,0.0010128512512892485,0.0001957830972969532,1.5662648365832865e-05,2.6104413336724974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026130517944693565,0.0031534130685031414,0.003967870492488146,0.007290962617844343,0.01336284913122654,0.01846626214683056,0.028743568807840347,0.03318915143609047,0.03287850692868233,0.037778306752443314,0.04437489062547684,0.05582950636744499,0.08510299772024155,0.1874270737171173,0.38286036252975464,0.06296123564243317,0.0,0.00014096382074058056,0.0005508030881173909,0.006870681419968605,0.029411841183900833,0.04631183668971062,0.06589797884225845,0.14008410274982452,0.2683977484703064,0.2876601815223694,0.10094054043292999,0.026788348332047462,0.011778310872614384,0.006855018902570009,0.004484738223254681,0.003826906904578209,0.047964248806238174,0.028751399368047714,0.02953975275158882,0.031293969601392746,0.030244572088122368,0.039255816489458084,0.04618653655052185,0.0584399476647377,0.06410199403762817,0.05881846323609352,0.04616043344140053,0.03938111662864685,0.035428907722234726,0.03787750378251076,0.03833172097802162,0.03030461259186268,0.07137207686901093,0.26654693484306335,0.47234102023387586,0.31735866385919304,0.8560261918855191,0.42552904899874994,0.8763999314225595,0.1811928011771573,0.036974289764198844,0.8788520323590296,0.0,0.1575584020967064,0.008893773314503351,0.6248309788627753
Train,Blackspot,Blackspot_029d903d.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_029d903d.png,116.60474499415841,32.944552804391684,121.0,85.47291003944522,25.708318441334693,88.0,20.208398015014634,26.509259441468277,11.0,20.318816874689123,2.2871613196753633,20.0,211.70135686936806,47.71663070076324,231.0,116.6079445684739,32.95189328276795,121.0,97.81126675843561,28.569468364362745,102.0,134.80112204883804,4.325953319558639,135.0,166.68775115964326,12.28892710099649,170.0,0.00045113303349353373,0.3317701816558838,0.6634802222251892,0.0038242200389504433,0.0004441925266291946,9.254011274606455e-06,1.850802254921291e-05,2.3135028186516138e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007435597945004702,0.004009300377219915,0.0036044372245669365,0.005904058925807476,0.010359865613281727,0.014732385985553265,0.018267417326569557,0.02184871956706047,0.022903677076101303,0.023410335183143616,0.027500607073307037,0.032898008823394775,0.04602945223450661,0.10901456326246262,0.4366135001182556,0.21546807885169983,5.0897062465082854e-05,0.00428692065179348,0.028220105916261673,0.03847123682498932,0.08429709821939468,0.08009114861488342,0.16370345652103424,0.18387489020824432,0.20058299601078033,0.16708579659461975,0.03607213497161865,0.004025494679808617,0.004416476935148239,0.001397355692461133,0.0010966003173962235,0.002327383728697896,0.06565026938915253,0.04497218132019043,0.030589133501052856,0.023218313232064247,0.02063181810081005,0.022313734516501427,0.024766046553850174,0.02962440252304077,0.0350935235619545,0.03153998404741287,0.02597138285636902,0.024361183866858482,0.02325764298439026,0.02837279811501503,0.03697440028190613,0.04590683430433273,0.08628439903259277,0.400471955537796,0.4971909201940926,0.2900230012079571,0.8732074438696071,0.4413798372618397,0.8665289353120331,0.19493349357944878,0.1553262617265671,0.7418963782114311,0.0,0.18157526402850235,0.014248863491769714,0.6753828125
Train,Blackspot,Blackspot_02a0236e.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_02a0236e.png,124.06003315099414,36.62010942556345,127.0,87.49938332866357,29.18891739572368,90.0,26.44366033061963,27.939739469372206,16.0,18.581833988410246,2.0380965166453415,19.0,200.1577997795171,50.983805568275,222.0,124.06018764614849,36.62046766614627,127.0,101.60054361345836,31.718613523273284,105.0,137.53827944769293,5.013093383707087,137.0,165.83666458054566,13.179319421188252,170.0,0.0009138780878856778,0.6656436920166016,0.3324526250362396,0.0009505379712209105,3.6659868783317506e-05,0.0,2.6185618935414823e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004231595899909735,0.0038649975322186947,0.004983123391866684,0.008685769513249397,0.01786121167242527,0.0273639727383852,0.026971187442541122,0.028984861448407173,0.031477734446525574,0.035965949296951294,0.03716001287102699,0.04536920413374901,0.07820858806371689,0.17555886507034302,0.34427282214164734,0.12904010713100433,1.8329934391658753e-05,0.00453534908592701,0.014475410804152489,0.0460212267935276,0.066781185567379,0.0762944221496582,0.10935376584529877,0.18768543004989624,0.21793243288993835,0.14358621835708618,0.0761137381196022,0.028175726532936096,0.011678786017000675,0.006363105494529009,0.004202791955322027,0.006782075390219688,0.06574947386980057,0.044963326305150986,0.03114517591893673,0.02368227392435074,0.02143554762005806,0.023711077868938446,0.02624060958623886,0.03131014481186867,0.037107642740011215,0.03251992166042328,0.026133248582482338,0.02395722270011902,0.024562111124396324,0.027487045153975487,0.03549722582101822,0.04469361528754234,0.08193742483854294,0.3978669047355652,0.5610562328515531,0.3432153210102553,0.8479876851307657,0.39462813751608566,0.8838561785115271,0.15583100407804573,0.13183150077640363,0.6791606985275827,0.0,0.4344901267122122,0.011956353809614836,0.5967015625
Train,Blackspot,Blackspot_02a75fb9.png,C:\MachinL\ProyectoFinal\Clean_dataset_segmented_yolo\Train\Blackspot\Blackspot_02a75fb9.png,119.90009593210087,32.88690845995184,126.0,75.14563721598427,26.615426711936017,76.0,21.131339552379874,28.187482723497794,11.0,16.304853786246266,1.6216043449509994,16.0,209.82983630108504,50.63386086391033,232.0,119.90105997882878,32.888852435214936,126.0,91.94868577747533,28.778117331845884,95.0,142.694231787078,5.505492787244401,144.0,164.44415144985066,12.268849312097009,168.0,0.0015783902490511537,0.9845256209373474,0.011386620812118053,0.0023912140168249607,0.00011341726349201053,2.362859731874778e-06,2.362859731874778e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010042153298854828,0.005503099877387285,0.004846225026994944,0.0070602246560156345,0.010540716350078583,0.014255132526159286,0.017811235040426254,0.020592322573065758,0.024306736886501312,0.028760727494955063,0.036943309009075165,0.04256927967071533,0.04841499403119087,0.09502948820590973,0.37038061022758484,0.26294374465942383,0.0,0.0006096177967265248,0.009359287098050117,0.052923329174518585,0.07110553234815598,0.10298524051904678,0.12104220688343048,0.16172592341899872,0.25349703431129456,0.16290971636772156,0.041647762060165405,0.007561150938272476,0.00628284364938736,0.001854844857007265,0.0014673358527943492,0.0050281654112041,0.0657016783952713,0.04527948051691055,0.03203801438212395,0.023997202515602112,0.020159918814897537,0.021570544689893723,0.023784544318914413,0.02925456501543522,0.0356508269906044,0.032768137753009796,0.02807549759745598,0.027397356927394867,0.0267475713044405,0.031033799052238464,0.03933216258883476,0.04383104667067528,0.08427847921848297,0.3890991806983948,0.5199095894378548,0.2958979459160558,0.8709544427097584,0.4597957004657761,0.8664944877106926,0.21150582133715068,0.1339977694605119,0.11277456428868474,0.0,0.955779082076292,0.01944633473214623,0.661275
