epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5597,0.46244,1.01211,2.08309,0.98767,0,0.01993,1,0.995,0.9008,0.01993,1,0.995,0.97833,0.38688,0.3789,2.16588,0.89772,0,0.000653333,0.000653333,0.000653333
2,39.8254,0.5837,0.57259,1.49715,1.02961,0,1,0.95026,0.97719,0.81208,1,0.95026,0.97719,0.91719,0.62448,0.51113,1.76501,1.08686,0,0.00127644,0.00127644,0.00127644
3,59.0185,0.70658,0.7673,1.1885,1.05867,0,0.96107,0.96154,0.97233,0.80945,0.96107,0.96154,0.97233,0.94,0.70819,0.52732,1.20126,1.1375,0,0.00185555,0.00185555,0.00185555
4,78.3403,0.70663,0.68084,1.06166,1.11191,0,0.93538,0.84615,0.94664,0.68127,0.93538,0.84615,0.94664,0.88745,0.78469,1.09504,2.29781,1.1241,0,0.001802,0.001802,0.001802
5,97.5429,0.62027,0.71886,0.93725,1.01004,0,0.87437,0.96154,0.9587,0.8707,0.87437,0.96154,0.9769,0.92172,0.4913,1.14263,1.86178,0.95186,0,0.001736,0.001736,0.001736
6,116.627,0.61298,0.66033,0.86357,1.03182,0,0.95022,0.96154,0.96031,0.80995,0.95022,0.96154,0.96211,0.84195,0.62675,0.82361,1.34819,1.00058,0,0.00167,0.00167,0.00167
7,135.894,0.54958,0.6839,0.8338,1.01996,0,0.98842,0.96154,0.96622,0.86172,0.98842,0.96154,0.97065,0.93875,0.47126,0.90416,1.28452,0.97918,0,0.001604,0.001604,0.001604
8,155.169,0.57387,0.62971,0.79144,0.99235,0,0.99721,0.96154,0.96766,0.85817,0.99721,0.96154,0.97972,0.93346,0.57291,1.03923,0.94762,1.01688,0,0.001538,0.001538,0.001538
9,174.277,0.56134,0.62871,0.82739,0.99864,0,0.99511,0.96154,0.9656,0.86153,0.99511,0.96154,0.96791,0.93607,0.47831,0.78541,1.11222,0.96044,0,0.001472,0.001472,0.001472
